"~id","~start_node_id","~end_node_id","~relationship_type"
"1170937002627956755","19","272","BaoGom"
"1173188802441642003","19","273","BaoGom"
"1175440602255327251","19","274","BaoGom"
"1177692402069012499","19","275","BaoGom"
"1152923703630102619","91","159","Chua"
"1155175503443787867","91","163","Chua"
"1157427303257473115","91","166","Chua"
"1159679103071158363","91","167","Chua"
"1161930902884843611","91","170","Chua"
"1152923703630102647","119","105","Chua"
"1155175503443787895","119","175","Chua"
"1157427303257473143","119","178","Chua"
"1159679103071158391","119","179","Chua"
"1161930902884843639","119","182","Chua"
"1152923703630102652","124","220","Chua"
"1155175503443787900","124","221","Chua"
"1157427303257473148","124","222","Chua"
"1159679103071158396","124","223","Chua"
"1161930902884843644","124","224","Chua"
"1164182702698528892","124","225","Chua"
"1166434502512214140","124","226","Chua"
"1168686302325899388","124","227","Chua"
"1170938102139584636","124","228","Chua"
"1173189901953269884","124","229","Chua"
"1175441701766955132","124","230","Chua"
"1177693501580640380","124","231","Chua"
"1179945301394325628","124","232","Chua"
"1182197101208010876","124","233","Chua"
"1152923703630102688","160","90","Chua"
"1155175503443787936","160","98","Chua"
"1157427303257473184","160","102","Chua"
"1159679103071158432","160","106","Chua"
"1161930902884843680","160","110","Chua"
"1164182702698528928","160","114","Chua"
"1155175503443787938","162","22","Chua"
"1152923703630102702","174","121","Chua"
"1155175503443787950","174","125","Chua"
"1157427303257473198","174","128","Chua"
"1159679103071158446","174","129","Chua"
"1161930902884843694","174","132","Chua"
"1164182702698528942","174","133","Chua"
"1166434502512214190","174","136","Chua"
"1168686302325899438","174","137","Chua"
"1170938102139584686","174","140","Chua"
"1173189901953269934","174","141","Chua"
"1175441701766955182","174","144","Chua"
"1177693501580640430","174","145","Chua"
"1179945301394325678","174","148","Chua"
"1182197101208010926","174","149","Chua"
"1184448901021696174","174","152","Chua"
"1186700700835381422","174","153","Chua"
"1170938102139584788","276","20","Chua"
"1173189901953270036","276","21","Chua"
"1177693501580640532","276","25","Chua"
"1179945301394325780","276","29","Chua"
"1182197101208011028","276","30","Chua"
"6919783026478022690","276","34","Chua"
"6919783026478022694","276","38","Chua"
"6919783026478022699","276","43","Chua"
"6919783026478022704","276","48","Chua"
"6919783026478022706","276","50","Chua"
"6919783026478022709","276","53","Chua"
"6919783026478022710","276","54","Chua"
"6919783026478022715","276","59","Chua"
"1155175503443788052","276","64","Chua"
"1157427303257473300","276","69","Chua"
"1161930902884843796","276","74","Chua"
"1164182702698529044","276","75","Chua"
"6919783026478022734","276","78","Chua"
"1168686302325899540","276","80","Chua"
"1175441701766955284","276","86","Chua"
"1152923703630102804","276","184","Chua"
"1166434502512214293","277","87","Chua"
"1170938102139584789","277","94","Chua"
"1152923703630102805","277","95","Chua"
"1155175503443788053","277","99","Chua"
"1157427303257473301","277","103","Chua"
"1175441701766955285","277","104","Chua"
"1159679103071158549","277","107","Chua"
"1161930902884843797","277","111","Chua"
"1164182702698529045","277","115","Chua"
"1168686302325899541","277","122","Chua"
"1173189901953270037","277","126","Chua"
"1177693501580640533","277","157","Chua"
"1179945301394325781","277","185","Chua"
"1182197101208011029","277","186","Chua"
"6919783026478022843","277","187","Chua"
"6919783026478022844","277","188","Chua"
"6919783026478022845","277","189","Chua"
"6919783026478022846","277","190","Chua"
"6919783026478022847","277","191","Chua"
"6919783026478022848","277","192","Chua"
"6919783026478022849","277","193","Chua"
"6919783026478022850","277","194","Chua"
"6919783026478022851","277","195","Chua"
"1152923703630102806","278","196","Chua"
"1155175503443788054","278","197","Chua"
"1157427303257473302","278","198","Chua"
"1159679103071158550","278","199","Chua"
"1161930902884843798","278","200","Chua"
"1164182702698529046","278","201","Chua"
"1166434502512214294","278","202","Chua"
"1168686302325899542","278","203","Chua"
"1170938102139584790","278","204","Chua"
"1173189901953270038","278","205","Chua"
"1175441701766955286","278","206","Chua"
"1177693501580640534","278","207","Chua"
